,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
590,Moses Wright,LAC,F,23,1,1.5,3.1,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,82.6,0.0,0.0,0.0,0.0,0.0,0.0
591,Thaddeus Young,SAS,F,33,23,14.1,29.3,18.9,15.9,18,0.444,111,0.586,3,0.0,0.57,0.566,6.0,3.4,12.6,2.4,24.4,0.87,0.26,1.0,10.4,115.2,101.5
592,Trae Young,ATL,G,23,34,34.7,72.2,35.5,14.6,234,0.897,468,0.502,251,0.375,0.523,0.585,28.3,4.1,6.3,9.6,48.5,0.91,0.09,4.15,11.9,116.1,113.4
593,Omer Yurtseven,MIA,C,23,31,14.8,30.8,19.5,13.9,41,0.634,149,0.483,7,0.143,0.471,0.497,5.6,6.4,23.9,1.0,10.3,0.48,0.52,0.9,8.9,105.9,92.8
594,Cody Zeller,POR,F-C,29,25,13.2,27.5,15.8,15.0,47,0.766,77,0.597,4,0.0,0.568,0.629,5.1,4.6,19.0,0.8,9.0,0.32,0.24,0.72,8.1,128.6,100.0
595,Ivica Zubac,LAC,C,24,36,24.9,51.8,14.5,16.5,114,0.737,197,0.66,0,0.0,0.66,0.696,9.6,8.2,17.2,1.1,6.4,0.53,1.17,1.36,7.1,130.7,98.5
596,Tyler Johnson,SAS,G,29,1,12.3,25.6,3.4,100.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,2.0,8.4,2.0,18.1,0.0,0.0,1.0,0.0,0.0,111.6
597,Anthony Lamb,SAS,F,23,1,3.9,8.1,10.8,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,13.2,1.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0
598,Charlie Brown Jr.,PHI,G,23,1,12.4,25.8,12.5,29.1,1,1.0,2,0.5,0,0.0,0.5,0.615,3.0,3.0,13.3,1.0,11.0,2.0,1.0,1.0,6.7,110.9,96.3
599,Braxton Key,PHI,F,24,1,2.4,5.0,18.8,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,1.0,23.0,1.0,51.2,0.0,0.0,0.0,0.0,0.0,0.0
600,Langston Galloway,MIL,G,30,2,18.5,38.5,12.7,0.0,0,0.0,5,0.2,6,0.0,0.091,0.091,1.0,4.5,12.8,3.5,23.1,0.5,0.0,0.0,5.4,68.4,108.3
601,Luke Kornet,MIL,F-C,26,1,3.0,6.3,14.3,0.0,0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,1.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,Jeff Dowtin,MIL,G,24,1,3.0,6.3,14.3,0.0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,Danuel House Jr.,UTA,F-G,28,2,19.3,40.1,9.9,11.3,2,1.0,1,1.0,6,0.5,0.786,0.825,6.5,2.5,7.0,2.0,13.7,0.0,0.5,0.5,6.6,160.4,100.7
604,Norvel Pelle,UTA,C,28,2,5.5,11.5,23.5,16.7,0,0.0,5,0.6,0,0.0,0.6,0.6,3.0,2.5,24.6,0.0,0.0,0.0,0.5,0.5,0.0,118.3,112.2
605,Greg Monroe,WAS,F-C,31,1,14.1,29.4,22.1,0.0,0,0.0,7,0.571,0,0.0,0.571,0.571,8.0,7.0,27.1,1.0,13.0,1.0,1.0,0.0,10.9,140.5,102.7
606,Jordan Bell,CHI,F,27,1,2.0,4.2,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,27.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
607,Rajon Rondo,CLE,G,35,1,16.8,35.0,32.9,7.9,6,0.833,1,0.0,8,0.25,0.333,0.473,11.0,5.0,16.1,3.0,25.2,1.0,0.0,1.0,13.1,105.0,83.2
